Alice in Wonderland	1951	Animation, Adventure, Family
Blood Diamond	2006	Adventure, Drama, Thriller
Cars	2006	Animation, Adventure, Comedy
Cat's Eye	1985	Comedy, Horror, Thriller
Coraline	2009	Animation, Family, Fantasy
The Deer Hunter	1978	Drama, War
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	Comedy
Fifty Shades of Grey	2015	Drama, Romance, Thriller
Finding Nemo	2003	Animation, Adventure, Comedy
Frozen	2013	Animation, Adventure, Comedy
Harry Potter and the Deathly Hallows: Part 1	2010	Adventure, Family, Fantasy
Iron Man	2008	Action, Adventure, Sci-Fi
Love Story	1970	Drama, Romance
Minions	2015	Animation, Action, Adventure
101 Dalmatians	1961	Animation, Adventure, Comedy
The Peanuts Movie	2015	Animation, Adventure, Comedy
Predator	1987	Action, Sci-Fi, Thriller
Pretty Woman	1990	Comedy, Romance
Deep Red	1975	Horror, Mystery, Thriller
Reservoir Dogs	1992	Crime, Drama, Thriller
The Social Network	2010	Biography, Drama
Spirited Away	2001	Animation, Adventure, Family
Star Wars: Episode IV - A New Hope	1977	Action, Adventure, Fantasy
WarGames	1983	Sci-Fi, Thriller
Ant-Man	2015	Action, Adventure, Comedy
Big Hero 6	2014	Animation, Action, Adventure
Charlie's Angels	2000	Action, Adventure, Comedy
Close Encounters of the Third Kind	1977	Drama, Sci-Fi
Dune	1984	Action, Adventure, Sci-Fi
The Fifth Element	1997	Action, Adventure, Sci-Fi
Frankenstein	1931	Drama, Horror, Sci-Fi
Gandhi	1982	Biography, Drama, History
The Godfather	1972	Crime, Drama
Green Lantern	2011	Action, Adventure, Sci-Fi
Inside Out	2015	Animation, Adventure, Comedy
Kill Bill: Vol. 1	2003	Action, Crime, Thriller
The Lord of the Rings	1978	Animation, Adventure, Fantasy
M	1931	Crime, Drama, Mystery
Modern Times	1936	Comedy, Drama, Family
One Flew Over the Cuckoo's Nest	1975	Drama
Pixels	2015	Action, Comedy, Sci-Fi
Rush	2013	Action, Biography, Drama
Slumdog Millionaire	2008	Drama
Speed	1994	Action, Adventure, Crime
Star Wars: The Force Awakens	2015	Action, Adventure, Fantasy
TRON	1982	Action, Adventure, Sci-Fi
Pink Floyd: The Wall	1982	Animation, Drama, Fantasy
2001: A Space Odyssey	1968	Adventure, Sci-Fi
Alien	1979	Horror, Sci-Fi
Batman	1989	Action, Adventure
Bee Movie	2007	Animation, Adventure, Comedy
Captain America: The First Avenger	2011	Action, Adventure, Sci-Fi
Chicken Run	2000	Animation, Adventure, Comedy
Creed	2015	Drama, Sport
The Fast and the Furious	2001	Action, Crime, Thriller
A Fistful of Dollars	1964	Western
From Dusk Till Dawn	1996	Action, Crime, Horror
Gattaca	1997	Drama, Sci-Fi, Thriller
Good Will Hunting	1997	Drama
Hazzard	2012	Documentary, Short, Mystery
Jaws	1975	Adventure, Drama, Thriller
Labyrinth	1986	Adventure, Family, Fantasy
The Love Bug	1968	Comedy, Family, Sport
Memento	2000	Mystery, Thriller
Monsters, Inc.	2001	Animation, Adventure, Comedy
The Pianist	2002	Biography, Drama, War
Pulp Fiction	1994	Crime, Drama
Six Days Seven Nights	1998	Action, Adventure, Comedy
Il Sorpasso	1962	Comedy, Drama
Speed Racer	2008	Action, Family, Sci-Fi
The Thin Red Line	1998	Drama, War
Vertigo	1958	Mystery, Romance, Thriller
American Beauty	1999	Drama, Romance
The A-Team	2010	Action, Adventure, Comedy
The Birds	1963	Drama, Horror, Mystery
The Black Hole	1979	Action, Sci-Fi
The Day the Earth Stood Still	1951	Drama, Sci-Fi
Entrapment	1999	Action, Crime, Romance
Escape from New York	1981	Action, Sci-Fi
E.T. the Extra-Terrestrial	1982	Family, Sci-Fi
Ice Age	2002	Animation, Adventure, Comedy
The Iron Giant	1999	Animation, Action, Adventure
Men in Black	1997	Adventure, Comedy, Family
The Ninth Gate	1999	Mystery, Thriller
The Little Prince	2015	Animation, Adventure, Drama
Psycho	1960	Horror, Mystery, Thriller
The Shining	1980	Drama, Horror
Signs	2002	Drama, Mystery, Sci-Fi
Spider-Man	2002	Action, Adventure
Stargate	1994	Action, Adventure, Sci-Fi
Suicide Squad	2016	Action, Adventure, Fantasy
Thor	2011	Action, Adventure, Fantasy
Titanic	1997	Drama, Romance
My Neighbor Totoro	1988	Animation, Family, Fantasy
Wonder Woman	2017	Action, Adventure, Fantasy
Zorro	1975	Action, Adventure, Comedy
King Kong	1933	Adventure, Horror, Sci-Fi
